name	translation	note	status
《知》宝石	《知》宝石	修复	done
芸の鍵	芸之钥	修复	done
知の鍵	知之钥	修复	done
「メデタシ招福鏡モチ（知）」のダメージを1回確定する	确定1次「可喜可贺招福镜饼（知）」的伤害值	修复	done
「メデタシ招福鏡モチ（知）」のダメージを8回確定する	确定8次「可喜可贺招福镜饼（知）」的伤害值	修复	done
「メデタシ招福鏡モチ（知）」のダメージを6回確定する	确定6次「可喜可贺招福镜饼（知）」的伤害值	修复	done
「メデタシ招福モチ（知）」のダメージを1回確定する	确定1次「可喜可贺招福饼（知）」的伤害值	修复	done
「メデタシ招福モチ（知）」のダメージを6回確定する	确定6次「可喜可贺招福饼（知）」的伤害值	修复	done
知属性ピックアップSSR確定10回召喚	知属性精选SSR确定10连召唤	修复	done
ボーナスつき知属性SSR確定10回召喚	附带奖励知属性SSR确定10连召唤	修复	done
ボーナスつき週替わり知属性SSR確定召喚	附带奖励每周轮换知属性SSR确定召唤	修复	done
◆編成制限：知属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが紅華タイプの攻撃を使用。氷撃ダメージを無効化。<br>・ボスエネミーが最大HP増加、HP回復スキルを使用。HP回復に攻撃と魔力増加効果。<br>・邪精霊ユーノが氷撃弱点付与、魔力減少スキルを使用。<br>・大精霊が刻印付与、鈍重付与スキルを使用。<br>・望滅の凶獣が幻影付与の必殺技を使用。反撃率と回避率増加スキルを使用。<br>・ブラッドドラゴンが飛行付与の必殺技を使用。力溜め付与、HP回復スキルを使用。	◆编成限制：仅知属性可出击<br>◆出现敌人的特征◆<br>・敌人使用红华Type的攻击。无效化冰击伤害值。<br>・Boss敌人使用最大HP增加、HP回复技能。HP回复带有攻击与魔力增加效果。<br>・邪精灵尤诺使用赋予冰击弱点、魔力减少技能。<br>・大精灵使用赋予刻印、赋予钝重技能。<br>・望灭的凶兽使用赋予幻影的必杀技。使用反击率与回避率增加技能。<br>・血龙使用赋予飞行的必杀技。使用赋予蓄力、HP回复技能。	修复	done
◆編成制限：芸属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが金紋、翠苑タイプの攻撃を使用。<br>・ボスエネミーが後衛単体を前衛に移動させる必殺技を使用。<br>・ラメエルが出血付与スキルを使用。<br>・メタシクロ祭祀書が呪い付与スキルを使用。<br>・スライムが敏捷減少スキルを使用。<br>・クラゲが飛行付与、幻影付与、鋼壁付与スキルを使用。	◆编成限制：仅芸属性可出击<br>◆出现敌人的特征◆<br>・敌人使用金纹、翠苑Type的攻击。<br>・Boss敌人使用将后卫单体移动至前卫的必杀技。<br>・拉梅尔使用赋予出血技能。<br>・梅塔西克洛祭祀书使用赋予诅咒技能。<br>・史莱姆使用敏捷减少技能。<br>・水母使用赋予飞行、赋予幻影、赋予钢壁技能。	修复	done
◆編成制限：知属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが蒼史タイプの攻撃を使用。<br>・ボスエネミーが防御増加スキルを使用。<br>・ベノスポアンが被ダメージ時、攻撃減少効果。<br>・カーディナルが被ダメージ時、敏捷減少効果。<br>・プレデターが被ダメージ時、防御減少効果。<br>・マグナ・タピルスが幸運減少、睡眠付与、HP回復スキルを使用。	◆编成限制：仅知属性可出击<br>◆出现敌人的特征◆<br>・敌人使用苍史Type的攻击。<br>・Boss敌人使用防御增加技能。<br>・贝诺斯波安被给予伤害值时，带有攻击减少效果。<br>・红衣主教被给予伤害值时，带有敏捷减少效果。<br>・捕食者被给予伤害值时，带有防御减少效果。<br>・巨大貘使用幸运减少、赋予睡眠、HP回复技能。	修复	done
◆編成制限：力属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが白閃タイプの攻撃を使用、くくり罠を無効化。<br>・ボスエネミーが防御無視、出血付与スキルを使用。防御減少効果の必殺技を使用。<br>・アバルティス<絶>が即死スキルとスタン付与スキルを使用、確率で魔法ダメージを軽減。<br>・アバルティス<防>が即死スキルを使用、物理ダメージを軽減。確率で物理攻撃を引き受ける。<br>・ベベンジュウガが敏捷減少、攻撃減少スキルを使用。<br>・エレメントが魔法ダメージ、状態異常を無効化。	◆编成限制：仅力属性可出击<br>◆出现敌人的特征◆<br>・敌人使用白闪Type的攻击，无效化套索陷阱。<br>・Boss敌人使用无视防御、赋予出血技能。使用防御减少效果的必杀技。<br>・阿巴尔蒂斯<绝>使用即死技能与赋予眩晕技能，概率减轻魔法伤害值。<br>・阿巴尔蒂斯<防>使用即死技能，减轻物理伤害值。概率代为承受物理攻击。<br>・贝文重牙使用敏捷减少、攻击减少技能。<br>・元素体无效化魔法伤害值、状态异常。	修复	done
◆編成制限：知属性のみ出撃可能<br>◆出現エネミーの特徴◆<br>・エネミーが翠苑タイプの攻撃を使用。毒・猛毒による最大HP減少が無効、固定ダメージ化。<br>・ボスエネミーが出血付与、猛毒付与スキルを使用。<br>・近衛騎士の連撃率が高い。即死の必殺技を使用。魔法ダメージを軽減。攻撃を回避時、集中付与効果。<br>・プレデターの連撃率が高い。被ダメージ時、ランダムなアイリス単体の防御減少効果。<br>・ギュムノートがスタン付与スキルを使用。<br>・ベベンジュウガがバフ解除の必殺技を使用。	◆编成限制：仅知属性可出击<br>◆出现敌人的特征◆<br>・敌人使用翠苑Type的攻击。由毒・猛毒造成的最大HP减少无效，变为固定伤害值。<br>・Boss敌人使用赋予出血、赋予猛毒技能。<br>・近卫骑士的连击率高。使用即死的必杀技。减轻魔法伤害值。回避攻击时，赋予集中效果。<br>・捕食者的连击率高。被给予伤害值时，随机减少一名爱丽丝单体的防御效果。<br>・裸背电鳗使用赋予眩晕技能。<br>・贝文重牙使用Buff解除的必杀技。	修复	done
