name	translation
89(E)-58-85	89(E)-58-85
46147	46147
桐木りり	桐木りり
82(C)-56-82	82(C)-56-82
46268	46268
沢澤砂羽	沢澤砂羽
93(F)-57-90	93(F)-57-90
46353	46353
波奈束風景	波奈束風景
????	????
72(A)-54-75	72(A)-54-75
46042	46042
小鳥居夕花	小鳥居夕花
88(D)-58-88	88(D)-58-88
46179	46179
桃山いおん	桃山いおん
87(D)-56-84	87(D)-56-84
46337	46337
藤咲ウサ	藤咲ウサ
84(C)-60-86	84(C)-60-86
46106	46106
美月	美月
86(D)-57-85	86(D)-57-85
46090	46090
花安未羽	花安未羽
89(E)-55-88	89(E)-55-88
46247	46247
桃井いちご	桃井いちご
72(A)-54-77	72(A)-54-77
46196	46196
実羽ゆうき	実羽ゆうき
95(G)-63-90	95(G)-63-90
46297	46297
奏雨	奏雨
77(B)-58-79	77(B)-58-79
46372	46372
歩サラ	歩サラ
85(C)-59-81	85(C)-59-81
46133	46133
くすはらゆい	くすはらゆい
79(C)-56-76	79(C)-56-76
46070	46070
木村あやか	木村あやか
60(AA)-49-63	60(AA)-49-63
46211	46211
白雪碧	白雪碧
81(C)-56-80	81(C)-56-80
46055	46055
羽鳥いち	羽鳥いち
88(E)-55-78	88(E)-55-78
46154	46154
長月麗陰	長月麗陰
85(D)-58-82	85(D)-58-82
46381	46381
羽鳥空	羽鳥空
89(E)-54-76	89(E)-54-76
46290	46290
神代岬	神代岬
91(F)-59-90	91(F)-59-90
46230	46230
外街未来	外街未来
90(F)-59-87	90(F)-59-87
46029	46029
和央きりか	和央きりか
79(B)-54-77	79(B)-54-77
46314	46314
猫村ゆき	猫村ゆき
87(D)-60-88	87(D)-60-88
46167	46167
周防珊瑚	周防珊瑚
98(G)-58-93	98(G)-58-93
46194	46194
雨音遊	雨音遊
70(A)-52-73	70(A)-52-73
46125	46125
北風響子	北風響子
89(E)-62-88	89(E)-62-88
46239	46239
手塚まき	手塚まき
80(B)-55-81	80(B)-55-81
46219	46219
