name	translation	note	status
魔札ハント9	魔札狩猎9	修复	done
メインストーリー	主线故事	修复	done
追想クエスト	追想任务	修复	done
イベント	活动	修复	done
出撃	出击	修复	done
チャレンジクエスト	挑战任务	修复	done
深淵の封穴	深渊的封穴	修复	done
異形の楽園	异形的乐园	修复	done
琥珀色の巨人	琥珀色的巨人	修复	done
ロサリエ【蜜憶】	萝莎莉叶【蜜忆】	修复	done
ベリーラブリー	浆果可爱	修复	done
チョココーン	巧克力角	修复	done
生ショコラスライム	生巧克力史莱姆	修复	done
カカオマスフラーイ	可可块浮莱伊	修复	done
ウエハースギザール	威化饼吉扎尔	修复	done
クランチゴーレム	松脆魔像	修复	done
《極濃》チョココーン	《极浓》巧克力角	修复	done
ショコラバーゴーレム	巧克力棒魔像	修复	done
氷砂糖スライム	冰糖史莱姆	修复	done
ナッツワッハール	坚果瓦哈尔	修复	done
チョコミントゴーレム	巧克力薄荷魔像	修复	done
スライムフォンデュ	史莱姆火锅	修复	done
ワール・チョコラータ（追想）	瓦鲁・巧可拉塔（追想）	修复	done
ビッグ団子スライム	巨大团子史莱姆	修复	done
「ドラゴンナイトとドラゴンママ　戦友と歩む道」のあらすじです。	是「龙骑士与龙妈妈　与战友同行的道路」的剧情概要。	修复	done
「絆の竜鱗」を集めて、限定SR聖装を手に入れましょう！「絆の竜鱗」は「ドラゴンナイトとドラゴンママ」の各クエストをクリアすることで獲得できます。	收集「羁绊龙鳞」来获得限定SR圣装吧！「羁绊龙鳞」可通过通关「龙骑士与龙妈妈」的各个任务来获得。	修复	done
特定の聖装を編成することで「絆の竜鱗」が多く貰えます！<br>入手したら編成して「絆の竜鱗」を効率よく集めましょう。	通过编成特定圣装可以获得更多「羁绊龙鳞」！<br>获得后请进行编成，高效收集「羁绊龙鳞」。	修复	done
特定のアイリスを編成することでも「絆の竜鱗」が少し多く貰えます！<br>編成して「絆の竜鱗」を効率よく集めましょう。	通过编成特定爱丽丝也可以获得稍多一些的「羁绊龙鳞」！<br>请进行编成，高效收集「羁绊龙鳞」。	修复	done
「チョコは恋愛魔術！？　愛情渦巻くチョコの塊」のあらすじです。	是「巧克力是恋爱魔术！？　爱情漩涡中的巧克力块」的剧情概要。	修复	done
「愛情のチョコ片」を集めて、限定SR聖装を手に入れましょう！「愛情のチョコ片」は「チョコは恋愛魔術！？」の各クエストをクリアすることで獲得できます。	收集「爱情的巧克力碎片」来获得限定SR圣装吧！「爱情的巧克力碎片」可通过通关「巧克力是恋爱魔术！？」的各个任务来获得。	修复	done
特定の聖装を編成することで「愛情のチョコ片」が多く貰えます！<br>入手したら編成して「愛情のチョコ片」を効率よく集めましょう。	通过编成特定圣装可以获得更多「爱情的巧克力碎片」！<br>获得后请进行编成，高效收集「爱情的巧克力碎片」。	修复	done
特定のアイリスを編成することでも「愛情のチョコ片」が少し多く貰えます！<br>編成して「愛情のチョコ片」を効率よく集めましょう。	通过编成特定爱丽丝也可以获得稍多一些的「爱情的巧克力碎片」！<br>请进行编成，高效收集「爱情的巧克力碎片」。	修复	done
